Имя объекта;Тип объекта;Синоним;Файл
Перечисление.КонтактнаяИнформацияТоварногоЧека;Перечисление;Контактна інформація товарного чека;Перечисление_КонтактнаяИнформацияТоварногоЧека.md
Перечисление.КритерииОграниченияПримененияСкидкиНаценкиЗаОбъемПродаж;Перечисление;Критерії обмеження застосування знижки націнки за обсяг продажів;Перечисление_КритерииОграниченияПримененияСкидкиНаценкиЗаОбъемПродаж.md
Перечисление.ЛогическиеХранилищаСертификатов;Перечисление;Логічні сховища сертифікатів;Перечисление_ЛогическиеХранилищаСертификатов.md
Перечисление.МераКоличестваПредметаРасчетаККТ;Перечисление;Міра кількості предмета розрахунку ККТ;Перечисление_МераКоличестваПредметаРасчетаККТ.md
Перечисление.МетодОценкиЗапасов;Перечисление;Метод оцінки запасів;Перечисление_МетодОценкиЗапасов.md
Перечисление.МодельХраненияЗакрытогоКлюча;Перечисление;Модель зберігання закритого ключа;Перечисление_МодельХраненияЗакрытогоКлюча.md
Перечисление.НазначенияАвтоматическихСкидок;Перечисление;Призначення автоматичних знижок;Перечисление_НазначенияАвтоматическихСкидок.md
Перечисление.НазначенияШаблоновПечатиОфисныхДокументов;Перечисление;Призначення шаблонів друку офісних документів;Перечисление_НазначенияШаблоновПечатиОфисныхДокументов.md
Перечисление.НомераСчетаВРасходнойНакладной;Перечисление;Номери рахунку у видатковій накладній;Перечисление_НомераСчетаВРасходнойНакладной.md
Перечисление.ОбластиДоступаGoogle;Перечисление;Області доступу Google;Перечисление_ОбластиДоступаGoogle.md
Перечисление.ОбработчикиДрайверовПодключаемогоОборудования;Перечисление;Обробники драйверів торгового обладнання;Перечисление_ОбработчикиДрайверовПодключаемогоОборудования.md
Перечисление.ОбработчикиОфлайнОборудования;Перечисление;Обробники офлайн обладнання;Перечисление_ОбработчикиОфлайнОборудования.md
Перечисление.ОперацииАдминистрированияПрофилейБезопасности;Перечисление;Операції адміністрування профілів безпеки;Перечисление_ОперацииАдминистрированияПрофилейБезопасности.md
Перечисление.ОперацииСерийНоменклатуры;Перечисление;Операції серій номенклатури;Перечисление_ОперацииСерийНоменклатуры.md
Перечисление.ОснованиеПечатиСпособНачальногоЗаполнение;Перечисление;Підстава друку спосіб початкового заповнення;Перечисление_ОснованиеПечатиСпособНачальногоЗаполнение.md
Перечисление.ПараметрыЗаконодательныхИзменений;Перечисление;Параметри законодавчих змін;Перечисление_ПараметрыЗаконодательныхИзменений.md
