Имя объекта;Тип объекта;Синоним;Файл
Перечисление.ТипыСтрокСоставаСпецификации;Перечисление;Типи рядків складу специфікації;Перечисление_ТипыСтрокСоставаСпецификации.md
Перечисление.ТипыСтруктурныхЕдиниц;Перечисление;Типи структурних одиниць;Перечисление_ТипыСтруктурныхЕдиниц.md
Перечисление.ТипыСуммГрафикаКредитовИЗаймов;Перечисление;Типи сум графіка кредитів і позик;Перечисление_ТипыСуммГрафикаКредитовИЗаймов.md
Перечисление.ТипыСчетов;Перечисление;Типи рахунків;Перечисление_ТипыСчетов.md
Перечисление.ТипыСчетчиковВыгрузки;Перечисление;Типи лічильників вивантаження;Перечисление_ТипыСчетчиковВыгрузки.md
Перечисление.ТипыТекстовЭлектронныхПисем;Перечисление;Типи текстів електронних листів;Перечисление_ТипыТекстовЭлектронныхПисем.md
Перечисление.ТипыУпаковок;Перечисление;Типи упаковок;Перечисление_ТипыУпаковок.md
Перечисление.ТипыУслуг;Перечисление;Типи послуг;Перечисление_ТипыУслуг.md
Перечисление.ТипыФайловДляВстроенногоРедактора;Перечисление;Типи файлів для вбудованого редактора;Перечисление_ТипыФайловДляВстроенногоРедактора.md
Перечисление.ТипыФискальныхДокументовККТ;Перечисление;Типи фіскальних документів ККТ;Перечисление_ТипыФискальныхДокументовККТ.md
Перечисление.ТипыХраненияФайлов;Перечисление;Типи зберігання файлів;Перечисление_ТипыХраненияФайлов.md
Перечисление.ТипыШаблонов;Перечисление;Типи шаблонів;Перечисление_ТипыШаблонов.md
Перечисление.ТипыШтрихкодов;Перечисление;Типи штрихкодів;Перечисление_ТипыШтрихкодов.md
Перечисление.ТочкиВыдачиСообщенияКассиру;Перечисление;Точки видачі повідомлення касиру;Перечисление_ТочкиВыдачиСообщенияКассиру.md
Перечисление.ТочностиУказанияСрокаГодности;Перечисление;Точність вказівки терміну придатності;Перечисление_ТочностиУказанияСрокаГодности.md
Перечисление.УдалитьВидыОповещенийПользователей;Перечисление;Види сповіщень користувачів (не використовується);Перечисление_УдалитьВидыОповещенийПользователей.md
Перечисление.УдалитьОсновнаяФормаПрайсЛиста;Перечисление;(Не використовується) Основна форма прайс листа;Перечисление_УдалитьОсновнаяФормаПрайсЛиста.md
Перечисление.УдалитьПараметрыБланковДоговоровСКонтрагентами;Перечисление;(не використовується) Параметри бланків договорів із контрагентами;Перечисление_УдалитьПараметрыБланковДоговоровСКонтрагентами.md
Перечисление.УдалитьСтатусыЗаказов;Перечисление;(не використовується) статуси замовлень;Перечисление_УдалитьСтатусыЗаказов.md
Перечисление.УдалитьТипыОтветственныхЛиц;Перечисление;Вилучити типи відповідальних осіб;Перечисление_УдалитьТипыОтветственныхЛиц.md
Перечисление.УровниПроизводительности;Перечисление;Рівні продуктивності;Перечисление_УровниПроизводительности.md
Перечисление.УсловияНачисленияПремийПоЛичнымПродажам;Перечисление;Умови нарахування премій за особистими продажами;Перечисление_УсловияНачисленияПремийПоЛичнымПродажам.md
Перечисление.УсловияПредоставленияСкидокНаценок;Перечисление;Умови надання знижок націнок;Перечисление_УсловияПредоставленияСкидокНаценок.md
Перечисление.ФорматыПочтовыхКонвертов;Перечисление;Формати поштових конвертів;Перечисление_ФорматыПочтовыхКонвертов.md
Перечисление.ФорматыСканированногоИзображения;Перечисление;Формати сканованого зображення;Перечисление_ФорматыСканированногоИзображения.md
Перечисление.ФорматыСохраненияОтчетов;Перечисление;Формати збереження звітів;Перечисление_ФорматыСохраненияОтчетов.md
Перечисление.ФорматыХраненияМногостраничныхФайлов;Перечисление;Формати зберігання багатосторінкових файлів;Перечисление_ФорматыХраненияМногостраничныхФайлов.md
Перечисление.ФорматыХраненияОдностраничныхФайлов;Перечисление;Формати зберігання односторінкових файлів;Перечисление_ФорматыХраненияОдностраничныхФайлов.md
Перечисление.ЦветностиИзображения;Перечисление;Кольоровості зображення;Перечисление_ЦветностиИзображения.md
Перечисление.ЧастотаРасчетаКурсовыхРазниц;Перечисление;Частота розрахунків курсових різниць;Перечисление_ЧастотаРасчетаКурсовыхРазниц.md
Перечисление.ЧатБоты;Перечисление;Чат боти;Перечисление_ЧатБоты.md
Перечисление.ШаблоныШтрихкодов;Перечисление;Шаблони штрихкодів;Перечисление_ШаблоныШтрихкодов.md
Перечисление.ШагиЗагрузкиНаложенныхПлатежейСервисДоставки;Перечисление;Кроки завантаження післяплати сервіс доставки;Перечисление_ШагиЗагрузкиНаложенныхПлатежейСервисДоставки.md
Перечисление.ЮридическоеФизическоеЛицо;Перечисление;Юридична фізична особа;Перечисление_ЮридическоеФизическоеЛицо.md
ПланВидовХарактеристик.АналитикаДоходовИРасходов;ПланВидовХарактеристик;Аналітика доходів і витрат;ПланВидовХарактеристик_АналитикаДоходовИРасходов.md
ПланВидовХарактеристик.ДополнительныеРеквизитыИСведения;ПланВидовХарактеристик;Додаткові реквізити й відомості;ПланВидовХарактеристик_ДополнительныеРеквизитыИСведения.md
ПланВидовХарактеристик.НастройкиПользователей;ПланВидовХарактеристик;Налаштування користувачів;ПланВидовХарактеристик_НастройкиПользователей.md
ПланВидовХарактеристик.РазделыДатЗапретаИзменения;ПланВидовХарактеристик;Розділи дати заборони зміни;ПланВидовХарактеристик_РазделыДатЗапретаИзменения.md
