Имя объекта;Тип объекта;Синоним;Файл
РегистрСведений.ПользовательскиеНастройкиДоступаКОбработкам;РегистрСведений;Користувацькі налаштування доступу до обробок;РегистрСведений_ПользовательскиеНастройкиДоступаКОбработкам.md
РегистрСведений.ПоставляемыеДанныеТребующиеОбработки;РегистрСведений;Дані, що поставляються, які потребують обробки;РегистрСведений_ПоставляемыеДанныеТребующиеОбработки.md
РегистрСведений.ПоставляемыеДанныеТребующиеОбработкиВОбластях;РегистрСведений;Дані, що поставляються, які потребують обробки в областях;РегистрСведений_ПоставляемыеДанныеТребующиеОбработкиВОбластях.md
РегистрСведений.ПоставляемыеМакетыПечати;РегистрСведений;Макети друку, що поставляються;РегистрСведений_ПоставляемыеМакетыПечати.md
РегистрСведений.ПотокиОбновления;РегистрСведений;Потоки оновлення;РегистрСведений_ПотокиОбновления.md
РегистрСведений.ПраваРолей;РегистрСведений;Права ролей;РегистрСведений_ПраваРолей.md
РегистрСведений.ПравилаДляОбменаДанными;РегистрСведений;Правила для обміну даними;РегистрСведений_ПравилаДляОбменаДанными.md
РегистрСведений.ПредопределенныеВариантыОтчетовВерсийРасширений;РегистрСведений;Напередвизначені варіанти звітів версій розширень;РегистрСведений_ПредопределенныеВариантыОтчетовВерсийРасширений.md
РегистрСведений.ПривязкаПолейОтчетовУНФ;РегистрСведений;Прив`язка полів звітів BAS МБ;РегистрСведений_ПривязкаПолейОтчетовУНФ.md
РегистрСведений.ПрименениеПереводовВПути;РегистрСведений;Перекази в дорозі;РегистрСведений_ПрименениеПереводовВПути.md
РегистрСведений.ПрименениеРазрешенийНаИспользованиеВнешнихРесурсовВМоделиСервиса;РегистрСведений;Застосування дозволів на використання зовнішніх ресурсів у моделі сервісу;РегистрСведений_ПрименениеРазрешенийНаИспользованиеВнешнихРесурсовВМоделиСервиса.md
РегистрСведений.ПрименениеРазрешенийНаИспользованиеВнешнихРесурсовОбластейДанных;РегистрСведений;Застосування дозволів на використання зовнішніх ресурсів областей даних;РегистрСведений_ПрименениеРазрешенийНаИспользованиеВнешнихРесурсовОбластейДанных.md
РегистрСведений.ПрогрессОбновления;РегистрСведений;Прогрес оновлення;РегистрСведений_ПрогрессОбновления.md
РегистрСведений.ПрожиточныйМинимум;РегистрСведений;Прожитковий мінімум;РегистрСведений_ПрожиточныйМинимум.md
РегистрСведений.ПросмотренныеДанныеИнформационногоЦентра;РегистрСведений;Переглянуті дані інформаційного центру;РегистрСведений_ПросмотренныеДанныеИнформационногоЦентра.md
РегистрСведений.ПросмотрСобытий;РегистрСведений;Перегляд подій;РегистрСведений_ПросмотрСобытий.md
РегистрСведений.ПротоколыПроверкиДанных;РегистрСведений;Протоколи перевірки даних;РегистрСведений_ПротоколыПроверкиДанных.md
РегистрСведений.ПрофилиМобильныхПользователей;РегистрСведений;Профілі мобільних користувачів;РегистрСведений_ПрофилиМобильныхПользователей.md
РегистрСведений.ПроцентыВознагражденияПоДоговорам;РегистрСведений;Відсотки винагороди за договорами;РегистрСведений_ПроцентыВознагражденияПоДоговорам.md
РегистрСведений.ПсевдонимыПредопределенныхУзлов;РегистрСведений;Псевдоніми напередвизначених вузлів;РегистрСведений_ПсевдонимыПредопределенныхУзлов.md
РегистрСведений.ПубличныеИдентификаторыСинхронизируемыхОбъектов;РегистрСведений;Публічні ідентифікатори об`єктів, що синхронізуються;РегистрСведений_ПубличныеИдентификаторыСинхронизируемыхОбъектов.md
РегистрСведений.РабочиеКаталогиФайлов;РегистрСведений;Робочі каталоги файлів;РегистрСведений_РабочиеКаталогиФайлов.md
РегистрСведений.РазмерОбъектовМетаданныхПриложений;РегистрСведений;Розмір об`єктів метаданих додатків;РегистрСведений_РазмерОбъектовМетаданныхПриложений.md
РегистрСведений.РазмерПриложений;РегистрСведений;Розмір додатків;РегистрСведений_РазмерПриложений.md
РегистрСведений.РазрешенияНаИспользованиеВнешнихРесурсов;РегистрСведений;Дозвіл на використання зовнішніх ресурсів;РегистрСведений_РазрешенияНаИспользованиеВнешнихРесурсов.md
РегистрСведений.РазрешенияНаИспользованиеВнешнихРесурсовВМоделиСервиса;РегистрСведений;Дозвіл на використання зовнішніх ресурсів у моделі сервісу;РегистрСведений_РазрешенияНаИспользованиеВнешнихРесурсовВМоделиСервиса.md
РегистрСведений.РазрешенияНаИспользованиеВнешнихРесурсовОбластейДанных;РегистрСведений;Дозвіл на використання зовнішніх ресурсів областей даних;РегистрСведений_РазрешенияНаИспользованиеВнешнихРесурсовОбластейДанных.md
РегистрСведений.РасписаниеЗагрузкиРесурсов;РегистрСведений;Розклад завантаження ресурсів;РегистрСведений_РасписаниеЗагрузкиРесурсов.md
РегистрСведений.РасходыНаИсточникиПривлечения;РегистрСведений;Витрати;РегистрСведений_РасходыНаИсточникиПривлечения.md
РегистрСведений.РасшифровкиРегламентированныхОтчетовЗвит1С;РегистрСведений;Розшифровки регламентованих звітів "FREDO Звіт";РегистрСведений_РасшифровкиРегламентированныхОтчетовЗвит1С.md
РегистрСведений.РежимыПодключенияВнешнихМодулей;РегистрСведений;Режими підключення зовнішніх модулів;РегистрСведений_РежимыПодключенияВнешнихМодулей.md
РегистрСведений.РежимыПодключенияВнешнихМодулейВМоделиСервиса;РегистрСведений;Режими підключення зовнішніх модулів у моделі сервісу;РегистрСведений_РежимыПодключенияВнешнихМодулейВМоделиСервиса.md
РегистрСведений.РежимыПодключенияВнешнихМодулейОбластейДанных;РегистрСведений;Режими підключення зовнішніх модулів областей даних;РегистрСведений_РежимыПодключенияВнешнихМодулейОбластейДанных.md
РегистрСведений.РезультатыОбменаДанными;РегистрСведений;Результати обміну даними;РегистрСведений_РезультатыОбменаДанными.md
РегистрСведений.РейтингАктивностиОбластейДанных;РегистрСведений;Рейтинг активності областей даних;РегистрСведений_РейтингАктивностиОбластейДанных.md
РегистрСведений.РМК_номенклатура;РегистрСведений;Мобільна каса;РегистрСведений_РМК_номенклатура.md
РегистрСведений.РучныеИзмененияГрафиковРаботы;РегистрСведений;Ручні зміни графіків роботи;РегистрСведений_РучныеИзмененияГрафиковРаботы.md
РегистрСведений.СведенияОПользователях;РегистрСведений;Відомості про користувачів;РегистрСведений_СведенияОПользователях.md
РегистрСведений.СведенияОПользователяхСервиса;РегистрСведений;Відомості про користувачів сервісу;РегистрСведений_СведенияОПользователяхСервиса.md
РегистрСведений.СведенияОФайлах;РегистрСведений;Відомості про файли;РегистрСведений_СведенияОФайлах.md
РегистрСведений.СводныеПриложенияОчередьЗагрузки;РегистрСведений;Зведені додатки черга завантаження;РегистрСведений_СводныеПриложенияОчередьЗагрузки.md
РегистрСведений.СводныеПриложенияПорядокВыгрузкиОбъектов;РегистрСведений;Порядок вивантаження об`єктів;РегистрСведений_СводныеПриложенияПорядокВыгрузкиОбъектов.md
РегистрСведений.СводныеПриложенияСостояниеВыгрузки;РегистрСведений;Зведені додатки стан вивантаження;РегистрСведений_СводныеПриложенияСостояниеВыгрузки.md
РегистрСведений.СводныеПриложенияСостояниеЗагрузки;РегистрСведений;Зведені додатки стан завантаження;РегистрСведений_СводныеПриложенияСостояниеЗагрузки.md
