Имя объекта;Тип объекта;Синоним;Файл
Справочник.СообщенияОбластейДанных;Справочник;Повідомлення областей даних;Справочник_СообщенияОбластейДанных.md
Справочник.СообщенияОбсуждений;Справочник;Повідомлення обговорень;Справочник_СообщенияОбсуждений.md
Справочник.СообщенияСистемы;Справочник;Повідомлення системи;Справочник_СообщенияСистемы.md
Справочник.СоответствиеПолейЗагрузкиДанныхИзВнешнегоИсточника;Справочник;Відповідність полів завантаження даних із зовнішнього джерела;Справочник_СоответствиеПолейЗагрузкиДанныхИзВнешнегоИсточника.md
Справочник.СоответствияНазначенийПлатежаИРеквизитовПлатежа;Справочник;Відповідності призначень платежу й реквізитів платежу;Справочник_СоответствияНазначенийПлатежаИРеквизитовПлатежа.md
Справочник.СостоянияЗаказНарядов;Справочник;Стан замовлень-нарядів;Справочник_СостоянияЗаказНарядов.md
Справочник.СостоянияЗаказовНаПеремещение;Справочник;Стани замовлень на переміщення;Справочник_СостоянияЗаказовНаПеремещение.md
Справочник.СостоянияЗаказовНаПроизводство;Справочник;Стан замовлень на виробництво;Справочник_СостоянияЗаказовНаПроизводство.md
Справочник.СостоянияЗаказовПокупателей;Справочник;Стан замовлень покупців;Справочник_СостоянияЗаказовПокупателей.md
Справочник.СостоянияЗаказовПоставщикам;Справочник;Стан замовлень постачальникам;Справочник_СостоянияЗаказовПоставщикам.md
Справочник.СостоянияЛидов;Справочник;Стани лідів;Справочник_СостоянияЛидов.md
Справочник.СостоянияОригиналовПервичныхДокументов;Справочник;Стани оригіналів первинних документів;Справочник_СостоянияОригиналовПервичныхДокументов.md
Справочник.СостоянияСобытий;Справочник;Стан подій і завдань;Справочник_СостоянияСобытий.md
Справочник.Сотрудники;Справочник;Співробітники;Справочник_Сотрудники.md
Справочник.Спецификации;Справочник;Специфікації;Справочник_Спецификации.md
Справочник.СпецификацииПрисоединенныеФайлы;Справочник;Приєднані файли (Специфікації);Справочник_СпецификацииПрисоединенныеФайлы.md
Справочник.СпособыОплаты;Справочник;Способи оплати;Справочник_СпособыОплаты.md
Справочник.СтавкиНДС;Справочник;Ставки ПДВ;Справочник_СтавкиНДС.md
Справочник.СтатьиДвиженияДенежныхСредств;Справочник;Стаття руху грошових коштів;Справочник_СтатьиДвиженияДенежныхСредств.md
