Имя объекта;Тип объекта;Синоним;Файл
Константа.ФункциональнаяОпцияИспользоватьРучныеСкидкиНаценкиЗакупки;Константа;Використовувати ручні построкові знижки, націнки в закупівлях;Константа_ФункциональнаяОпцияИспользоватьРучныеСкидкиНаценкиЗакупки.md
Константа.ФункциональнаяОпцияИспользоватьРучныеСкидкиНаценкиПродажи;Константа;Використовувати ручні построкові знижки, націнки в продажах;Константа_ФункциональнаяОпцияИспользоватьРучныеСкидкиНаценкиПродажи.md
Константа.ФункциональнаяОпцияИспользоватьСборкуЗаказов;Константа;Функціональна опція використовувати збирання замовлень;Константа_ФункциональнаяОпцияИспользоватьСборкуЗаказов.md
Константа.ФункциональнаяОпцияИспользоватьСверкиВзаиморасчетов;Константа;Звірки взаєморозрахунків;Константа_ФункциональнаяОпцияИспользоватьСверкиВзаиморасчетов.md
Константа.ФункциональнаяОпцияИспользоватьСервисЗакупкаТоваров;Константа;Закупівля товарів;Константа_ФункциональнаяОпцияИспользоватьСервисЗакупкаТоваров.md
Константа.ФункциональнаяОпцияИспользоватьСервисРасчетПотребностей;Константа;Розрахунок потреб;Константа_ФункциональнаяОпцияИспользоватьСервисРасчетПотребностей.md
Константа.ФункциональнаяОпцияИспользоватьСовместительство;Константа;Використовувати сумісництво;Константа_ФункциональнаяОпцияИспользоватьСовместительство.md
Константа.ФункциональнаяОпцияИспользоватьТехоперации;Константа;Використовувати технологічні операції;Константа_ФункциональнаяОпцияИспользоватьТехоперации.md
Константа.ФункциональнаяОпцияИспользоватьХарактеристики;Константа;Використовувати характеристики;Константа_ФункциональнаяОпцияИспользоватьХарактеристики.md
Константа.ФункциональнаяОпцияИспользоватьЧастичноеПогашениеСертификатов;Константа;Функціональна опція використовувати часткове погашення сертифікатів;Константа_ФункциональнаяОпцияИспользоватьЧастичноеПогашениеСертификатов.md
Константа.ФункциональнаяОпцияИспользоватьШтрихкодАкцизнойМаркиПриПечатиЧека;Константа;Використовувати штрихкод акцизної марки під час друку чека;Константа_ФункциональнаяОпцияИспользоватьШтрихкодАкцизнойМаркиПриПечатиЧека.md
Константа.ФункциональнаяОпцияИспользоватьЭтапыПроизводства;Константа;Функціональна опція використовувати етапи виробництва;Константа_ФункциональнаяОпцияИспользоватьЭтапыПроизводства.md
Константа.ФункциональнаяОпцияИспользуетсяОСНО;Константа;Використовується загальна система оподатковування;Константа_ФункциональнаяОпцияИспользуетсяОСНО.md
Константа.ФункциональнаяОпцияКассовыйМетодУчетаДоходовИРасходов;Константа;Касовий метод обліку доходів і витрат;Константа_ФункциональнаяОпцияКассовыйМетодУчетаДоходовИРасходов.md
Константа.ФункциональнаяОпцияКонтрольДоговоров;Константа;Функціональна опція контроль договорів;Константа_ФункциональнаяОпцияКонтрольДоговоров.md
Константа.ФункциональнаяОпцияКредитыИЗаймы;Константа;Кредити й позики;Константа_ФункциональнаяОпцияКредитыИЗаймы.md
Константа.ФункциональнаяОпцияПередачаЗапасовНаОтветХранение;Константа;Передача запасів на відповідальне зберігання;Константа_ФункциональнаяОпцияПередачаЗапасовНаОтветХранение.md
Константа.ФункциональнаяОпцияПередачаСырьяВПереработку;Константа;Передача сировини в переробку;Константа_ФункциональнаяОпцияПередачаСырьяВПереработку.md
Константа.ФункциональнаяОпцияПередачаТоваровНаКомиссию;Константа;Передача товарів на комісію;Константа_ФункциональнаяОпцияПередачаТоваровНаКомиссию.md
Константа.ФункциональнаяОпцияПереработкаДавальческогоСырья;Константа;Переробка давальницької сировини;Константа_ФункциональнаяОпцияПереработкаДавальческогоСырья.md
Константа.ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятия;Константа;Планувати завантаження ресурсів підприємства;Константа_ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятия.md
Константа.ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятияЖурналЗаписи;Константа;Планувати завантаження ресурсів підприємства (журнал запису);Константа_ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятияЖурналЗаписи.md
Константа.ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятияРаботы;Константа;Планувати завантаження ресурсів підприємства (роботи);Константа_ФункциональнаяОпцияПланироватьЗагрузкуРесурсовПредприятияРаботы.md
Константа.ФункциональнаяОпцияПлатежныйКалендарь;Константа;Платіжний календар;Константа_ФункциональнаяОпцияПлатежныйКалендарь.md
Константа.ФункциональнаяОпцияПриемЗапасовНаОтветХранение;Константа;Прийом запасів на відповідальне зберігання;Константа_ФункциональнаяОпцияПриемЗапасовНаОтветХранение.md
Константа.ФункциональнаяОпцияПриемТоваровНаКомиссию;Константа;Прийом товарів на комісію;Константа_ФункциональнаяОпцияПриемТоваровНаКомиссию.md
Константа.ФункциональнаяОпцияРазноситьОплатуОтЭквайрераПоЭквайринговымОперациям;Константа;Функціональна опція розносити оплату від еквайрера за еквайринговими операціями;Константа_ФункциональнаяОпцияРазноситьОплатуОтЭквайрераПоЭквайринговымОперациям.md
Константа.ФункциональнаяОпцияРазрешитьСкладыВТабличныхЧастях;Константа;Функціональна опція дозволити склади в табличних частинах;Константа_ФункциональнаяОпцияРазрешитьСкладыВТабличныхЧастях.md
Константа.ФункциональнаяОпцияРезервированиеЗапасов;Константа;Резервування запасів;Константа_ФункциональнаяОпцияРезервированиеЗапасов.md
Константа.ФункциональнаяОпцияСуммовойУчетВРознице;Константа;Сумовий облік у роздробі;Константа_ФункциональнаяОпцияСуммовойУчетВРознице.md
Константа.ФункциональнаяОпцияУчетВнеоборотныхАктивов;Константа;Облік майна;Константа_ФункциональнаяОпцияУчетВнеоборотныхАктивов.md
Константа.ФункциональнаяОпцияУчетВРазличныхЕдиницахИзмерения;Константа;Облік у різних одиницях виміру;Константа_ФункциональнаяОпцияУчетВРазличныхЕдиницахИзмерения.md
Константа.ФункциональнаяОпцияУчетПоНесколькимНаправлениямДеятельности;Константа;Облік за декількома напрямками діяльності;Константа_ФункциональнаяОпцияУчетПоНесколькимНаправлениямДеятельности.md
Константа.ФункциональнаяОпцияУчетПоНесколькимОрганизациям;Константа;Облік за декількома організаціями;Константа_ФункциональнаяОпцияУчетПоНесколькимОрганизациям.md
Константа.ФункциональнаяОпцияУчетПоНесколькимПодразделениям;Константа;Функціональна опція облік за декількома підрозділами;Константа_ФункциональнаяОпцияУчетПоНесколькимПодразделениям.md
Константа.ФункциональнаяОпцияУчетПоНесколькимСкладам;Константа;Функціональна опція облік за декількома складами;Константа_ФункциональнаяОпцияУчетПоНесколькимСкладам.md
Константа.ФункциональнаяОпцияУчетПоПроектам;Константа;Облік за проектами;Константа_ФункциональнаяОпцияУчетПоПроектам.md
Константа.ФункциональнаяОпцияУчетПоЯчейкам;Константа;Облік за комірками;Константа_ФункциональнаяОпцияУчетПоЯчейкам.md
