Имя объекта;Тип объекта;Синоним;Файл
Константа.НастройкаПроксиСервера;Константа;Налаштування проксі сервера;Константа_НастройкаПроксиСервера.md
Константа.НастройкиВходаПользователей;Константа;Налаштування входу користувачів;Константа_НастройкиВходаПользователей.md
Константа.НастройкиВыгрузкиНоменклатуры;Константа;Налаштування вивантаження номенклатури;Константа_НастройкиВыгрузкиНоменклатуры.md
Константа.НастройкиЗагрузкиКурсовВалют;Константа;Налаштування завантаження курсів валют;Константа_НастройкиЗагрузкиКурсовВалют.md
Константа.НастройкиКолонтитулов;Константа;Налаштування колонтитулів;Константа_НастройкиКолонтитулов.md
Константа.НастройкиКонтроляДублейКонтакты;Константа;Налаштування контролю дублів контакти;Константа_НастройкиКонтроляДублейКонтакты.md
Константа.НастройкиКонтроляДублейКонтрагенты;Константа;Налаштування контролю дублів контрагенти;Константа_НастройкиКонтроляДублейКонтрагенты.md
Константа.НастройкиКонтроляДублейЛиды;Константа;Налаштування контролю дублів ліди;Константа_НастройкиКонтроляДублейЛиды.md
Константа.НастройкиКонтроляДублейНоменклатура;Константа;Налаштування контролю дублів номенклатура;Константа_НастройкиКонтроляДублейНоменклатура.md
Константа.НастройкиПодчиненногоУзлаРИБ;Константа;Налаштування підлеглого вузла РІБ;Константа_НастройкиПодчиненногоУзлаРИБ.md
Константа.НастройкиРасчетаРазмераПриложений;Константа;Налаштування розрахунку розміру додатків;Константа_НастройкиРасчетаРазмераПриложений.md
Константа.НастройкиТелефонии;Константа;Налаштування телефонії;Константа_НастройкиТелефонии.md
Константа.НастройкиЧатботов;Константа;Налаштування чатботів;Константа_НастройкиЧатботов.md
Константа.НациональнаяВалюта;Константа;Національна валюта;Константа_НациональнаяВалюта.md
Константа.НеДополнятьНаименованиеНомеромГТДВНалоговыхДокументах;Константа;Виводити найменування товару без зазначення номеру та дати ВМД;Константа_НеДополнятьНаименованиеНомеромГТДВНалоговыхДокументах.md
Константа.НезависимоеИспользованиеДополнительныхОтчетовИОбработокВМоделиСервиса;Константа;Незалежне використання додаткових звітів і обробок в моделі сервісу;Константа_НезависимоеИспользованиеДополнительныхОтчетовИОбработокВМоделиСервиса.md
Константа.НезависимоеИспользованиеРасширенийВМоделиСервиса;Константа;Незалежне використання розширень в моделі сервісу;Константа_НезависимоеИспользованиеРасширенийВМоделиСервиса.md
Константа.НеИспользоватьНесколькоОрганизаций;Константа;Не використовувати декілька організацій;Константа_НеИспользоватьНесколькоОрганизаций.md
Константа.НеИспользоватьРазделениеПоОбластямДанных;Константа;Не використовувати розподіл по областях даних;Константа_НеИспользоватьРазделениеПоОбластямДанных.md
Константа.НижняяГраницаДиапазонаSKUВесовогоТовара;Константа;Нижня межа діапазону SKU вагового товару;Константа_НижняяГраницаДиапазонаSKUВесовогоТовара.md
Константа.ОбщиеНастройкиТелефонии;Константа;Загальні налаштування телефонії;Константа_ОбщиеНастройкиТелефонии.md
Константа.ОбщиеНастройкиЧатботов;Константа;Загальні налаштування чатботів;Константа_ОбщиеНастройкиЧатботов.md
Константа.ОбязательноЗаполнятьИсточникПривлечения;Константа;Обов`язково заповнювати джерело залучення;Константа_ОбязательноЗаполнятьИсточникПривлечения.md
Константа.ОграничиватьДоступНаУровнеЗаписей;Константа;Обмежувати доступ на рівні записів;Константа_ОграничиватьДоступНаУровнеЗаписей.md
Константа.ОграничиватьДоступНаУровнеЗаписейУниверсально;Константа;Обмежувати доступ на рівні записів універсально;Константа_ОграничиватьДоступНаУровнеЗаписейУниверсально.md
Константа.ОснованиеПечатиЗаказПокупателя;Константа;Підстава друку замовлення покупця;Константа_ОснованиеПечатиЗаказПокупателя.md
Константа.ОснованиеПечатиСчетНаОплату;Константа;Підстава друку рахунки на оплату;Константа_ОснованиеПечатиСчетНаОплату.md
Константа.ОсновнойЯзык;Константа;Основна мова;Константа_ОсновнойЯзык.md
Константа.ОтложенноеОбновлениеВГлавномУзлеЗавершеноУспешно;Константа;Відкладене оновлення в головному вузлі завершено успішно;Константа_ОтложенноеОбновлениеВГлавномУзлеЗавершеноУспешно.md
Константа.ОтложенноеОбновлениеЗавершеноУспешно;Константа;Відкладене оновлення завершено успішно;Константа_ОтложенноеОбновлениеЗавершеноУспешно.md
Константа.ОтображатьБыстрыеДействия;Константа;Відображати швидкі дії;Константа_ОтображатьБыстрыеДействия.md
Константа.ОтображатьДокументыПоБанку;Константа;Відображати документи за банком;Константа_ОтображатьДокументыПоБанку.md
Константа.ОтображатьДокументыПоЗакупкам;Константа;Відображати документи за закупівлями;Константа_ОтображатьДокументыПоЗакупкам.md
Константа.ОтображатьДокументыПоЗапасам;Константа;Відображати документи за запасами;Константа_ОтображатьДокументыПоЗапасам.md
Константа.ОтображатьДокументыПоПродажам;Константа;Відображати документи з продажів;Константа_ОтображатьДокументыПоПродажам.md
Константа.ОтображатьДокументыПоСкладу;Константа;Відображати документи за складом;Константа_ОтображатьДокументыПоСкладу.md
Константа.ОтображатьКомандуПереходаКМП;Константа;Відображати команду переходу до мобільної програми;Константа_ОтображатьКомандуПереходаКМП.md
Константа.ОтображатьМакетОписанияИзменений;Константа;Відображати макет опису змін;Константа_ОтображатьМакетОписанияИзменений.md
Константа.ОтображатьМусорнуюКорзину;Константа;Відображати кошик для сміття;Константа_ОтображатьМусорнуюКорзину.md
Константа.ОтображатьПереходКПанелиОтчетовОсновнойРаздел;Константа;Відображати перехід до панелі звітів основний розділ;Константа_ОтображатьПереходКПанелиОтчетовОсновнойРаздел.md
Константа.ОтображатьПереходКСпискуНоменклатурыВГлавном;Константа;Відображати перехід до списку номенклатури в головному;Константа_ОтображатьПереходКСпискуНоменклатурыВГлавном.md
Константа.ОтображатьПереходКСпискуПокупателей;Константа;Відображати перехід до списку покупців;Константа_ОтображатьПереходКСпискуПокупателей.md
Константа.ОтображатьПульсБизнеса;Константа;Відображати пульс бізнесу;Константа_ОтображатьПульсБизнеса.md
Константа.ОтображатьСчетаУчета;Константа;Відображати рахунки обліку;Константа_ОтображатьСчетаУчета.md
Константа.ОтображатьТекущиеДела;Константа;Відображати поточні справи;Константа_ОтображатьТекущиеДела.md
Константа.ОценкаПроизводительностиПериодЗаписи;Константа;Оцінка продуктивності період запису;Константа_ОценкаПроизводительностиПериодЗаписи.md
Константа.ПараметрыАдминистрированияИБ;Константа;Параметри адміністрування ІБ;Константа_ПараметрыАдминистрированияИБ.md
Константа.ПараметрыБлокировкиРаботыСВнешнимиРесурсами;Константа;Параметри блокування роботи із зовнішніми ресурсами;Константа_ПараметрыБлокировкиРаботыСВнешнимиРесурсами.md
Константа.ПараметрыЗапускаИнтерактивнойПроцедурыЗагрузки;Константа;Параметри запуску інтерактивної процедури завантаження;Константа_ПараметрыЗапускаИнтерактивнойПроцедурыЗагрузки.md
Константа.ПараметрыИтоговИАгрегатов;Константа;Параметри підсумків та агрегатів;Константа_ПараметрыИтоговИАгрегатов.md
Константа.ПараметрыРезервногоКопирования;Константа;Параметри резервного копіювання;Константа_ПараметрыРезервногоКопирования.md
Константа.ПараметрыХраненияФайловВИБ;Константа;Параметри зберігання файлів в ІБ;Константа_ПараметрыХраненияФайловВИБ.md
Константа.ПараметрыЦентраМониторинга;Константа;Параметри центру моніторингу;Константа_ПараметрыЦентраМониторинга.md
Константа.ПервоеОбновлениеДоступаЗавершилось;Константа;Перше оновлення доступу завершилося;Константа_ПервоеОбновлениеДоступаЗавершилось.md
Константа.ПервоначальнаяНастройкаЗаполненыНачальныеОстатки;Константа;Первісне налаштування заповнені початкові залишки;Константа_ПервоначальнаяНастройкаЗаполненыНачальныеОстатки.md
Константа.ПервоначальнаяНастройкаЗаполненыСведенияОбОрганизации;Константа;Первісне налаштування заповнені відомості про організацію;Константа_ПервоначальнаяНастройкаЗаполненыСведенияОбОрганизации.md
Константа.ПередачаТоваровМеждуОрганизациями;Константа;Передача товарів між організаціями;Константа_ПередачаТоваровМеждуОрганизациями.md
Константа.ПереноситьДатуЗапретаРедактирования;Константа;Переносити дату заборони редагування при закритті місяця;Константа_ПереноситьДатуЗапретаРедактирования.md
Константа.ПериодХраненияЗамеров;Константа;Період зберігання вимірів;Константа_ПериодХраненияЗамеров.md
Константа.ПериодХраненияИсторииЗапусковЗаданийОчереди;Константа;Період зберігання історії запусків завдань черги (годин);Константа_ПериодХраненияИсторииЗапусковЗаданийОчереди.md
Константа.ПечататьДатыВНалоговыхНакладныхСРазделителями;Константа;Друкувати дати в податкових накладних з роздільниками;Константа_ПечататьДатыВНалоговыхНакладныхСРазделителями.md
Константа.ПечататьКодУКТВЭДБезПробелов;Константа;Друкувати код УКТ ЗЕД без пробілів;Константа_ПечататьКодУКТВЭДБезПробелов.md
Константа.ПечататьКороткийСлипЧек;Константа;Друкувати короткий сліп чек;Константа_ПечататьКороткийСлипЧек.md
Константа.ПечататьТитульныйЛистДляПриложения2КНалоговойНакладной;Константа;Друкувати титульний аркуш для документа "Додаток 2 до податкової накладної";Константа_ПечататьТитульныйЛистДляПриложения2КНалоговойНакладной.md
Константа.ПечатьПользовательскихЕдиницИзмерения;Константа;Друк користувацьких одиниць виміру;Константа_ПечатьПользовательскихЕдиницИзмерения.md
Константа.ПовторитьЗагрузкуСообщенияОбменаДаннымиПередЗапуском;Константа;Повторити завантаження повідомлення обміну даними перед запуском;Константа_ПовторитьЗагрузкуСообщенияОбменаДаннымиПередЗапуском.md
