Имя объекта;Тип объекта;Синоним;Файл
Константа.ПоддержкаРезервногоКопирования;Константа;Підтримка резервного копіювання;Константа_ПоддержкаРезервногоКопирования.md
Константа.ПользовательСтандартногоИнтерфейсаOData;Константа;Користувач стандартного інтерфейсу OData;Константа_ПользовательСтандартногоИнтерфейсаOData.md
Константа.ПоследнееОбновлениеДоступа;Константа;Останнє оновлення доступу;Константа_ПоследнееОбновлениеДоступа.md
Константа.ПоследняяДатаПроверкиВходящихСообщенийИнтеграции;Константа;Остання дата перевірки вхідних повідомлень інтеграції;Константа_ПоследняяДатаПроверкиВходящихСообщенийИнтеграции.md
Константа.ПравилоЗаполненияНомераСчетаНаОплату;Константа;Правило заповнення номера рахунку на оплату;Константа_ПравилоЗаполненияНомераСчетаНаОплату.md
Константа.ПрайсЛистВыводитьКод;Константа;У прайс лист виводити код номенклатури (Так) або артикул (Ні);Константа_ПрайсЛистВыводитьКод.md
Константа.ПрайсЛистВыводитьПолноеНаименование;Константа;У прайс лист виводити повне найменування (Так), коротке (Ні);Константа_ПрайсЛистВыводитьПолноеНаименование.md
Константа.ПрайсЛистИспользоватьИерархиюНоменклатуры;Константа;Формувати прайс лист по ієрархії номенклатури;Константа_ПрайсЛистИспользоватьИерархиюНоменклатуры.md
Константа.ПрайсЛистФормироватьПоНаличиюНаСкладах;Константа;Формувати прайс-лист по наявності на складах;Константа_ПрайсЛистФормироватьПоНаличиюНаСкладах.md
Константа.ПредложитьЗаполнитьПоставляемыеШаблоныДоговоровКонтрагентов;Константа;Запропонувати заповнити шаблони договорів контрагентів, що поставляються;Константа_ПредложитьЗаполнитьПоставляемыеШаблоныДоговоровКонтрагентов.md
Константа.ПредложитьЗаполнитьПоставляемыеШаблоныКоммерческогоПредложения;Константа;Запропонувати заповнити шаблони комерційної пропозиції, що поставляються;Константа_ПредложитьЗаполнитьПоставляемыеШаблоныКоммерческогоПредложения.md
Константа.ПредставлениеКодовВПечатныхФормах;Константа;Представлення кодів в друкованих формах;Константа_ПредставлениеКодовВПечатныхФормах.md
Константа.ПредставлениеНомераДокументаБезПрефиксаИнформационнойБазы;Константа;Представлення номера документа без префікса інформаційної бази;Константа_ПредставлениеНомераДокументаБезПрефиксаИнформационнойБазы.md
Константа.ПредставлениеНомераДокументаБезПрефиксаОрганизации;Константа;Представлення номера документа без префікса організації;Константа_ПредставлениеНомераДокументаБезПрефиксаОрганизации.md
Константа.ПредставлениеНомераДокументаБезПрефиксаПользователя;Константа;Представлення номера документа без префікса користувача;Константа_ПредставлениеНомераДокументаБезПрефиксаПользователя.md
Константа.ПредставлениеНомераДокументаСЛидирующимиНулями;Константа;Представлення номера документа з лідируючими нулями;Константа_ПредставлениеНомераДокументаСЛидирующимиНулями.md
Константа.ПредставлениеОбластиДанных;Константа;Представлення області даних;Константа_ПредставлениеОбластиДанных.md
Константа.ПредставлениеСкидкиВПечатнойФорме;Константа;Представлення знижки в друкованих формах;Константа_ПредставлениеСкидкиВПечатнойФорме.md
Константа.ПрефиксВнутреннегоШтрихкодаШтучногоТовара;Константа;Префікс внутрішнього штрихкода штучного товару;Константа_ПрефиксВнутреннегоШтрихкодаШтучногоТовара.md
Константа.ПрефиксДляОбменаССайтом;Константа;Префікс для обміну з сайтом;Константа_ПрефиксДляОбменаССайтом.md
Константа.ПрефиксОбластиДанных;Константа;Префікс області даних;Константа_ПрефиксОбластиДанных.md
Константа.ПрефиксПоследнегоАвтономногоРабочегоМеста;Константа;Префікс останнього автономного робочого місця;Константа_ПрефиксПоследнегоАвтономногоРабочегоМеста.md
Константа.ПрефиксСервисаДляНовостей;Константа;Префікс сервісу для новин;Константа_ПрефиксСервисаДляНовостей.md
Константа.ПрефиксУзлаРаспределеннойИнформационнойБазы;Константа;Префікс інформаційної бази;Константа_ПрефиксУзлаРаспределеннойИнформационнойБазы.md
Константа.ПрефиксШтрихкодовУзлаРИБ;Константа;Префікс штрихкодів вузла РІБ;Константа_ПрефиксШтрихкодовУзлаРИБ.md
Константа.ПриоритетОбновленияВОбластяхДанных;Константа;Пріоритет оновлення в областях даних;Константа_ПриоритетОбновленияВОбластяхДанных.md
Константа.ПровайдерSMS;Константа;Провайдер SMS;Константа_ПровайдерSMS.md
Константа.ПроверятьИспользованиеУдаляемыхОбъектов;Константа;Перевіряти використання об`єктів, що вилучаються;Константа_ПроверятьИспользованиеУдаляемыхОбъектов.md
Константа.ПроверятьЭлектронныеПодписиНаСервере;Константа;Перевіряти електронні підписи на сервері;Константа_ПроверятьЭлектронныеПодписиНаСервере.md
Константа.ПроизводственныйКалендарьРасчетаДатыОтгрузки;Константа;Виробничий календар для розрахунку дати відвантаження;Константа_ПроизводственныйКалендарьРасчетаДатыОтгрузки.md
Константа.ПрофильБезопасностиИнформационнойБазы;Константа;Профіль безпеки інформаційної бази;Константа_ПрофильБезопасностиИнформационнойБазы.md
Константа.ПутьКТомуБезУчетаРегиональныхНастроек;Константа;Шлях до тому без урахування регіональних налаштувань;Константа_ПутьКТомуБезУчетаРегиональныхНастроек.md
Константа.РазмерБлокаПередачиФайла;Константа;Розмір блоку передачі файлу;Константа_РазмерБлокаПередачиФайла.md
Константа.РазрешенныеНеаккредитованныеУЦ;Константа;Дозволені неакредитовані УЦ;Константа_РазрешенныеНеаккредитованныеУЦ.md
Константа.РазрешитьВыполнениеДООРегламентнымиЗаданиямиВМоделиСервиса;Константа;Дозволити виконання додаткових звітів і обробок регламентними завданнями в моделі сервісу;Константа_РазрешитьВыполнениеДООРегламентнымиЗаданиямиВМоделиСервиса.md
Константа.РасчетСтоимостиОперацийПоНормеВремени;Константа;Розрахунок вартості операцій по нормі часу;Константа_РасчетСтоимостиОперацийПоНормеВремени.md
Константа.РегистрДвиженияДенежныхСредствЗаполнен;Константа;Регістр руху грошових коштів заповнений;Константа_РегистрДвиженияДенежныхСредствЗаполнен.md
Константа.РежимИспользованияИнформационнойБазы;Константа;Режим використання інформаційної бази;Константа_РежимИспользованияИнформационнойБазы.md
Константа.РежимОчисткиФайлов;Константа;Режим очищення файлів;Константа_РежимОчисткиФайлов.md
Константа.РозницаВАвтономномРабочемМесте;Константа;Роздріб в автономному робочому місці;Константа_РозницаВАвтономномРабочемМесте.md
Константа.СведенияОБлокируемыхОбъектах;Константа;Відомості про об`єкти, що блокуються;Константа_СведенияОБлокируемыхОбъектах.md
Константа.СведенияОбОбновленииИБ;Константа;Відомості про оновлення ІБ;Константа_СведенияОбОбновленииИБ.md
Константа.СервисМассовыхРассылок;Константа;Сервіс масових розсилок;Константа_СервисМассовыхРассылок.md
Константа.СервисПереводаТекста;Константа;Сервіс перекладу тексту;Константа_СервисПереводаТекста.md
Константа.СимволПустыхПоказателейВНалоговойНакладной;Константа;Символ для порожніх показників в податковій накладній;Константа_СимволПустыхПоказателейВНалоговойНакладной.md
Константа.СинхронизироватьДанныеСПриложениемВИнтернетеПриЗавершенииРаботыПрограммы;Константа;Синхронізувати дані з додатком в Інтернеті при завершенні роботи програми;Константа_СинхронизироватьДанныеСПриложениемВИнтернетеПриЗавершенииРаботыПрограммы.md
Константа.СинхронизироватьДанныеСПриложениемВИнтернетеПриНачалеРаботыПрограммы;Константа;Синхронізувати дані з додатком в Інтернеті при початку роботи програми;Константа_СинхронизироватьДанныеСПриложениемВИнтернетеПриНачалеРаботыПрограммы.md
Константа.СинхронизироватьФайлы;Константа;Синхронізувати файли з хмарними сервісами;Константа_СинхронизироватьФайлы.md
Константа.СистемаНалогообложения;Константа;Система оподаткування;Константа_СистемаНалогообложения.md
Константа.СоздаватьПодкаталогиСИменамиВладельцев;Константа;Створювати підкаталоги з іменами власників;Константа_СоздаватьПодкаталогиСИменамиВладельцев.md
Константа.СоздаватьЭлектронныеПодписиНаСервере;Константа;(не використовується) Створювати електронні підписи на сервері;Константа_СоздаватьЭлектронныеПодписиНаСервере.md
Константа.СообщениеБлокировкиПриОбновленииКонфигурации;Константа;Повідомлення блокування при оновленні конфігурації;Константа_СообщениеБлокировкиПриОбновленииКонфигурации.md
Константа.СообщениеОбменаДаннымиИзГлавногоУзла;Константа;Повідомлення обміну даними з головного вузла;Константа_СообщениеОбменаДаннымиИзГлавногоУзла.md
Константа.СостояниеОтправкиСерверныхОповещений;Константа;Стан відправки серверних сповіщень;Константа_СостояниеОтправкиСерверныхОповещений.md
Константа.СписокЗапрещенныхРасширений;Константа;Список заборонених розширень;Константа_СписокЗапрещенныхРасширений.md
Константа.СписокЗапрещенныхРасширенийОбластиДанных;Константа;Список заборонених розширень області даних;Константа_СписокЗапрещенныхРасширенийОбластиДанных.md
Константа.СписокРасширенийТекстовыхФайлов;Константа;Список розширень текстових файлів;Константа_СписокРасширенийТекстовыхФайлов.md
Константа.СписокРасширенийФайловOpenDocument;Константа;Список розширень файлів OpenDocument;Константа_СписокРасширенийФайловOpenDocument.md
Константа.СписокРасширенийФайловOpenDocumentОбластиДанных;Константа;Список розширень файлів OpenDocument;Константа_СписокРасширенийФайловOpenDocumentОбластиДанных.md
Константа.СпособЗачетаПредоплатыПоУмолчанию;Константа;Спосіб заліку передоплати за замовчуванням;Константа_СпособЗачетаПредоплатыПоУмолчанию.md
Константа.СпособИспользованияВидовЦенДляВозвратов;Константа;Спосіб використання видів цін для повернень;Константа_СпособИспользованияВидовЦенДляВозвратов.md
Константа.СпособРазнесенияОплатыПоУмолчанию;Константа;Спосіб рознесення оплати за замовчуванням;Константа_СпособРазнесенияОплатыПоУмолчанию.md
Константа.СпособХраненияФайлов;Константа;Спосіб зберігання файлів;Константа_СпособХраненияФайлов.md
Константа.СрокОплатыПокупателя;Константа;Термін оплати покупця;Константа_СрокОплатыПокупателя.md
Константа.СрокОплатыПоставщику;Константа;Термін оплати постачальникові;Константа_СрокОплатыПоставщику.md
Константа.СтандартныеПодсистемыВАвтономномРежиме;Константа;Стандартні підсистеми в автономному режимі;Константа_СтандартныеПодсистемыВАвтономномРежиме.md
Константа.СтатусОбновленияКонфигурации;Константа;Статус оновлення конфігурації;Константа_СтатусОбновленияКонфигурации.md
Константа.СчетУчетаЗапасовДляНоменклатурыПоУмолчанию;Константа;Рахунок обліку запасів для номенклатури за замовчуванням;Константа_СчетУчетаЗапасовДляНоменклатурыПоУмолчанию.md
Константа.ТекущийРежимЗапускаУНФ;Константа;Поточний режим запуску УНФ;Константа_ТекущийРежимЗапускаУНФ.md
Константа.ТипПодписиКриптографииПоУмолчанию;Константа;Тип підпису криптографії за замовчуванням;Константа_ТипПодписиКриптографииПоУмолчанию.md
Константа.ТипыИнцидентовЦККАктуальны;Константа;Типи інцидентів ЦКЯ є актуальними;Константа_ТипыИнцидентовЦККАктуальны.md
Константа.УдалитьАдресатыПолученияОтчетаПоЖурналуРегистрации;Константа;(не використовується) Адресати отримання звіту по журналу реєстрації;Константа_УдалитьАдресатыПолученияОтчетаПоЖурналуРегистрации.md
Константа.УдалитьАртикулНоменклатурыВСодержание;Константа;(не використовується) Артикул номенклатури в зміст;Константа_УдалитьАртикулНоменклатурыВСодержание.md
Константа.УдалитьВерсияНачалаРаботыСПрограммой;Константа;(не використовується) Версія початку роботи з програмою;Константа_УдалитьВерсияНачалаРаботыСПрограммой.md
Константа.УдалитьВидБизнесаОрганизации;Константа;Вилучити вид бізнесу організації;Константа_УдалитьВидБизнесаОрганизации.md
Константа.УдалитьДатаОбновленияНаРелиз_1_4_1;Константа;Дата оновлення інформаційної бази на реліз 1.4.1;Константа_УдалитьДатаОбновленияНаРелиз_1_4_1.md
Константа.УдалитьДоговорыКонтрагентовТехническиеКомандыПечати;Константа;(не використовується) Договори контрагентів технічні команди друку;Константа_УдалитьДоговорыКонтрагентовТехническиеКомандыПечати.md
Константа.УдалитьИдентификацияПриложенияGoogle;Константа;Вилучити Ідентифікація клієнта Google;Константа_УдалитьИдентификацияПриложенияGoogle.md
Константа.УдалитьИспользоватьНовуюФормуПодбораНоменклатуры;Константа;Вилучити використовувати нову форму підбору номенклатури;Константа_УдалитьИспользоватьНовуюФормуПодбораНоменклатуры.md
Константа.УдалитьИспользоватьОнлайнОплаты;Константа;(не використовується) Використовувати онлайн оплати;Константа_УдалитьИспользоватьОнлайнОплаты.md
Константа.УдалитьИспользоватьРабочиеПроцессы;Константа;(не використовується) Робочі процеси;Константа_УдалитьИспользоватьРабочиеПроцессы.md
Константа.УдалитьИспользоватьСостоянияЗаказовНаПроизводство;Константа;(не використовується) використовувати стан замовлень на виробництво;Константа_УдалитьИспользоватьСостоянияЗаказовНаПроизводство.md
Константа.УдалитьИспользоватьСостоянияЗаказовПокупателей;Константа;(не використовується) використовувати стан замовлень покупців;Константа_УдалитьИспользоватьСостоянияЗаказовПокупателей.md
Константа.УдалитьИспользоватьСостоянияЗаказовПоставщикам;Константа;(не використовується) використовувати стан замовлень постачальникам;Константа_УдалитьИспользоватьСостоянияЗаказовПоставщикам.md
Константа.УдалитьИспользоватьТелефонию;Константа;(не використовується) використовувати телефонію;Константа_УдалитьИспользоватьТелефонию.md
Константа.УдалитьНастройкиВходаПользователей;Константа;(не використовується) Налаштування входу користувачів;Константа_УдалитьНастройкиВходаПользователей.md
Константа.УдалитьНеПроводитьДокументыСНекорректнымиДоговорами;Константа;Вилучити не проводити документи з некоректними договорами;Константа_УдалитьНеПроводитьДокументыСНекорректнымиДоговорами.md
Константа.УдалитьПлановаяДатаОптимизацииИтогов;Константа;(не використовується) Планова дата оптимізації підсумків;Константа_УдалитьПлановаяДатаОптимизацииИтогов.md
Константа.УдалитьСостояниеВРаботеЗаказовНаПроизводство;Константа;(не використовується) стан в роботі замовлень на виробництво;Константа_УдалитьСостояниеВРаботеЗаказовНаПроизводство.md
Константа.УдалитьСостояниеВРаботеЗаказовПокупателей;Константа;(не використовується) стан в роботі замовлень покупців;Константа_УдалитьСостояниеВРаботеЗаказовПокупателей.md
Константа.УдалитьСостояниеВРаботеЗаказовПоставщикам;Константа;(не використовується) стан в роботі замовлень постачальникам;Константа_УдалитьСостояниеВРаботеЗаказовПоставщикам.md
Константа.УдалитьСостояниеВыполненЗаказовНаПроизводство;Константа;(не використовується) стан виконаний замовлень на виробництво;Константа_УдалитьСостояниеВыполненЗаказовНаПроизводство.md
Константа.УдалитьСостояниеВыполненЗаказовПокупателей;Константа;(не використовується) стан виконаний замовлень покупців;Константа_УдалитьСостояниеВыполненЗаказовПокупателей.md
Константа.УдалитьСостояниеВыполненЗаказовПоставщикам;Константа;(не використовується) стан виконаний замовлень постачальникам;Константа_УдалитьСостояниеВыполненЗаказовПоставщикам.md
Константа.УдалитьТелефонияЖурналЗвонковОбновлен;Константа;(не використовується) телефонія журнал дзвінків оновлений;Константа_УдалитьТелефонияЖурналЗвонковОбновлен.md
Константа.УдалитьФункциональнаяОпцияИспользоватьМассовыеРассылки;Константа;(не використовується) Масові розсилки;Константа_УдалитьФункциональнаяОпцияИспользоватьМассовыеРассылки.md
Константа.УдалитьЭтоМобильноеПриложение;Константа;(Не використовується) Це мобільний додаток;Константа_УдалитьЭтоМобильноеПриложение.md
Константа.УдалятьНепробитыеЧекиПриЗакрытииКассовойСмены;Константа;Вилучати непробиті чеки при закритті касової зміни;Константа_УдалятьНепробитыеЧекиПриЗакрытииКассовойСмены.md
Константа.УсовершенствоватьПодписиАвтоматически;Константа;Удосконалити підписи автоматично;Константа_УсовершенствоватьПодписиАвтоматически.md
Константа.УсовершенствоватьПодписиСДаты;Константа;Удосконалити підписи з дати;Константа_УсовершенствоватьПодписиСДаты.md
Константа.УчетнаяЗаписьДляВосстановленияПароля;Константа;Обліковий запис для відновлення пароля;Константа_УчетнаяЗаписьДляВосстановленияПароля.md
Константа.УчетПоКомпании;Константа;Облік за компанією;Константа_УчетПоКомпании.md
Константа.УчетПотребностиПоСкладам;Константа;Облік потреби за складами;Константа_УчетПотребностиПоСкладам.md
Константа.ФункциональнаяОпцияВестиУчетНалогаНаДоходыИВзносов;Константа;Вести облік податку на доходи й внесків;Константа_ФункциональнаяОпцияВестиУчетНалогаНаДоходыИВзносов.md
Константа.ФункциональнаяОпцияВестиУчетРасчетовСБанкомЭквайрером;Константа;Вести облік розрахунків з банком-еквайрером;Константа_ФункциональнаяОпцияВестиУчетРасчетовСБанкомЭквайрером.md
Константа.ФункциональнаяОпцияВестиШтатноеРасписание;Константа;Вести штатний розклад;Константа_ФункциональнаяОпцияВестиШтатноеРасписание.md
Константа.ФункциональнаяОпцияВыполнениеЭтаповРазнымиПодразделениями;Константа;Виконання етапів різними підрозділами;Константа_ФункциональнаяОпцияВыполнениеЭтаповРазнымиПодразделениями.md
Константа.ФункциональнаяОпцияИспользоватьАвтоматическиеСкидкиНаценки;Константа;Функціональна опція використовувати автоматичні знижки націнки;Константа_ФункциональнаяОпцияИспользоватьАвтоматическиеСкидкиНаценки.md
Константа.ФункциональнаяОпцияИспользоватьАгентскиеПлатежиИРазделениеВыручки;Константа;Використовувати агентські платежі і розділення виручки;Константа_ФункциональнаяОпцияИспользоватьАгентскиеПлатежиИРазделениеВыручки.md
Константа.ФункциональнаяОпцияИспользоватьАгентскиеУслуги;Константа;Використовувати агентські послуги;Константа_ФункциональнаяОпцияИспользоватьАгентскиеУслуги.md
Константа.ФункциональнаяОпцияИспользоватьБонусныеПрограммы;Константа;Функціональна опція використовувати бонусні програми;Константа_ФункциональнаяОпцияИспользоватьБонусныеПрограммы.md
Константа.ФункциональнаяОпцияИспользоватьБюджетирование;Константа;Використовувати бюджетування;Константа_ФункциональнаяОпцияИспользоватьБюджетирование.md
Константа.ФункциональнаяОпцияИспользоватьДисконтныеКарты;Константа;Функціональна опція використовувати дисконтні картки;Константа_ФункциональнаяОпцияИспользоватьДисконтныеКарты.md
Константа.ФункциональнаяОпцияИспользоватьЗаказыВРозничнойТорговле;Константа;Використовувати замовлення покупців в роздрібній торгівлі;Константа_ФункциональнаяОпцияИспользоватьЗаказыВРозничнойТорговле.md
Константа.ФункциональнаяОпцияИспользоватьЗаказыВРозничнойТорговлеДляНастроек;Константа;Використовувати замовлення покупців в роздрібній торгівлі;Константа_ФункциональнаяОпцияИспользоватьЗаказыВРозничнойТорговлеДляНастроек.md
Константа.ФункциональнаяОпцияИспользоватьКорректировкиДолга;Константа;Коригування боргу;Константа_ФункциональнаяОпцияИспользоватьКорректировкиДолга.md
