Имя объекта;Тип объекта;Синоним;Файл
Константа.БлокировкаОтправкиБыстрыхСообщений;Константа;Блокування відправлення швидких повідомлень;Константа_БлокировкаОтправкиБыстрыхСообщений.md
Константа.ВакантныйНомерОчередиРасчетаЦен;Константа;Вакантний номер черги розрахунку цін;Константа_ВакантныйНомерОчередиРасчетаЦен.md
Константа.ВалютаУчета;Константа;Валюта обліку;Константа_ВалютаУчета.md
Константа.ВариантЗаполненияДатыОтгрузки;Константа;Варіант заповнення дати відвантаження;Константа_ВариантЗаполненияДатыОтгрузки.md
Константа.ВариантПечатиДоставки;Константа;Варіант друку доставки;Константа_ВариантПечатиДоставки.md
Константа.ВариантыСовместногоПримененияСкидокНаценок;Константа;Варіанти спільного застосування знижок націнок;Константа_ВариантыСовместногоПримененияСкидокНаценок.md
Константа.ВерсияДатЗапретаИзменения;Константа;Версія дат заборони зміни;Константа_ВерсияДатЗапретаИзменения.md
Константа.ВерсияНачалаРаботыСПрограммой;Константа;Версія початку роботи з програмою;Константа_ВерсияНачалаРаботыСПрограммой.md
Константа.ВерхняяГраницаДиапазонаSKUВесовогоТовара;Константа;Верхня межа діапазону SKU вагового товару;Константа_ВерхняяГраницаДиапазонаSKUВесовогоТовара.md
Константа.ВестиМесячнуюНумерациюНалоговыхДокументов;Константа;Вести помісячну нумерацію податкових документів;Константа_ВестиМесячнуюНумерациюНалоговыхДокументов.md
Константа.ВестиРаздельнуюНумерациюНалоговыхДокументов;Константа;Вести роздільну нумерацію податкових документів;Константа_ВестиРаздельнуюНумерациюНалоговыхДокументов.md
Константа.ВестиРасчетыПоДоговорам;Константа;Вести розрахунки за договорами;Константа_ВестиРасчетыПоДоговорам.md
Константа.ВестиРасчетыПоДокументам;Константа;Вести розрахунки за документами;Константа_ВестиРасчетыПоДокументам.md
Константа.ВестиРасчетыПоЗаказам;Константа;Вести розрахунки за замовленнями;Константа_ВестиРасчетыПоЗаказам.md
Константа.ВестиУчетОплатыПоСчетам;Константа;Вести облік оплати за рахунками;Константа_ВестиУчетОплатыПоСчетам.md
Константа.ВидБизнесаОрганизации;Константа;Вид бізнесу організації;Константа_ВидБизнесаОрганизации.md
Константа.ВидДнейРасчетаДатыОтгрузки;Константа;Вид днів для розрахунку дати відвантаження;Константа_ВидДнейРасчетаДатыОтгрузки.md
Константа.ВидКартыСервисЛояльности;Константа;Вид карти сервіс лояльності;Константа_ВидКартыСервисЛояльности.md
Константа.ВнешнийАдресУправляющегоПриложения;Константа;Зовнішня адреса керуючого додатка;Константа_ВнешнийАдресУправляющегоПриложения.md
Константа.ВнутреннийАдресМенеджераСервиса;Константа;Внутрішня адреса менеджера сервісу;Константа_ВнутреннийАдресМенеджераСервиса.md
Константа.ВыводитьНомерДоговораБезКлеточек;Константа;Виводити номер договору рядком (без клітинок);Константа_ВыводитьНомерДоговораБезКлеточек.md
Константа.ВыгрузкаПечатьНН_ПоФормеНаДатуДокумента;Константа;Вивантаження/друк податкових документів за формою, що діє на дату складання документа;Константа_ВыгрузкаПечатьНН_ПоФормеНаДатуДокумента.md
Константа.ВыполнитьРезервноеКопированиеОбластиДанных;Константа;Виконати резервне копіювання області даних;Константа_ВыполнитьРезервноеКопированиеОбластиДанных.md
Константа.ВыполнятьЗамерыПроизводительности;Константа;Виконувати заміри продуктивності;Константа_ВыполнятьЗамерыПроизводительности.md
Константа.ГлавныйУзел;Константа;Головний вузол;Константа_ГлавныйУзел.md
Константа.ДанныеДляИзмененияМультиязычныхРеквизитов;Константа;Дані для зміни мультиязичних реквізитів;Константа_ДанныеДляИзмененияМультиязычныхРеквизитов.md
Константа.ДанныеДляОтложенногоОбновления;Константа;Дані для відкладеного оновлення;Константа_ДанныеДляОтложенногоОбновления.md
Константа.ДатаВступленияВСилуПриказа1379;Константа;Дата набрання чинності наказа 1379 (змінює форму податкових накладних);Константа_ДатаВступленияВСилуПриказа1379.md
Константа.ДатаНачалаПереходаНаСтандартIBAN;Константа;Дата початку переводу номерів банківських рахунків на стандарт IBAN згідно з постановою НБУ № 162 від 28.12.2018;Константа_ДатаНачалаПереходаНаСтандартIBAN.md
Константа.ДатаОбновленияКешаТарификации;Константа;Дата оновлення кеша тарифікації;Константа_ДатаОбновленияКешаТарификации.md
Константа.ДатаОбновленияНаРелиз_1_2_1;Константа;Дата оновлення інформаційної бази на реліз 1.2.1;Константа_ДатаОбновленияНаРелиз_1_2_1.md
Константа.ДатаОбновленияНаРелиз_1_6_6;Константа;Дата оновлення інформаційної бази на реліз 1.6.4;Константа_ДатаОбновленияНаРелиз_1_6_6.md
Константа.ДатаОбновленияПовторноИспользуемыхЗначенийМРО;Константа;Дата оновлення повторно використовуваних значень МРО;Константа_ДатаОбновленияПовторноИспользуемыхЗначенийМРО.md
Константа.ДатаОкончанияПереходаНаСтандартIBAN;Константа;Дата закінчення переводу номерів банківських рахунків на стандарт IBAN згідно з постановою НБУ № 162 від 28.12.2018;Константа_ДатаОкончанияПереходаНаСтандартIBAN.md
Константа.ДатаПервогоВходаВСистему;Константа;Дата першого входу в систему;Константа_ДатаПервогоВходаВСистему.md
Константа.ДатаПоследнегоОбновленияКлассификатораОшибок;Константа;Дата останнього оновлення класифікатора помилок;Константа_ДатаПоследнегоОбновленияКлассификатораОшибок.md
Константа.ДатаПоследнегоСтартаКлиентскогоСеанса;Константа;Дата останнього старту клієнтського сеансу;Константа_ДатаПоследнегоСтартаКлиентскогоСеанса.md
Константа.ДатаПоследнейВыгрузкиЗамеровПроизводительностиUTC;Константа;Дата останнього вивантаження замірів продуктивності в UTC;Константа_ДатаПоследнейВыгрузкиЗамеровПроизводительностиUTC.md
Константа.ДетализироватьОбновлениеИБВЖурналеРегистрации;Константа;Деталізувати оновлення ІБ у журналі реєстрації;Константа_ДетализироватьОбновлениеИБВЖурналеРегистрации.md
Константа.ДнейДоСкрытияПерсональныхДанныхСубъектов;Константа;Днів до приховування персональних даних суб`єктів;Константа_ДнейДоСкрытияПерсональныхДанныхСубъектов.md
Константа.ДобавитьСловоДоговорВПредставлениеДоговораОснованияПечати;Константа;Додати слово договір в представлення договору підстави друку;Константа_ДобавитьСловоДоговорВПредставлениеДоговораОснованияПечати.md
Константа.ДобавлятьМеткиВремениАвтоматически;Константа;Додавати мітки часу автоматично;Константа_ДобавлятьМеткиВремениАвтоматически.md
Константа.ДокументооборотСКонтролирующимиОрганами_АдресСервисаШтампаВремени;Константа;Адреса сервісу штампу часу;Константа_ДокументооборотСКонтролирующимиОрганами_АдресСервисаШтампаВремени.md
Константа.ДополнительныйЯзык1;Константа;Додаткова мова1;Константа_ДополнительныйЯзык1.md
Константа.ДополнительныйЯзык2;Константа;Додаткова мова2;Константа_ДополнительныйЯзык2.md
Константа.ДоставлятьСерверныеОповещенияБезСистемыВзаимодействия;Константа;Доставляти серверні оповіщення без системи взаємодії;Константа_ДоставлятьСерверныеОповещенияБезСистемыВзаимодействия.md
Константа.ЕстьАвтоматическиеСкидки;Константа;Є автоматичні знижки;Константа_ЕстьАвтоматическиеСкидки.md
Константа.ЗавершатьСеансыБезПредупрежденияПоУмолчаниюВМоделиСервиса;Константа;Завершать сеансы без предупреждения по умолчанию ;Константа_ЗавершатьСеансыБезПредупрежденияПоУмолчаниюВМоделиСервиса.md
Константа.ЗаголовокСистемы;Константа;Заголовок програми;Константа_ЗаголовокСистемы.md
Константа.ЗагружатьИУстанавливатьИсправленияАвтоматически;Константа;Завантажувати і встановлювати виправлення (патчі) автоматично;Константа_ЗагружатьИУстанавливатьИсправленияАвтоматически.md
Константа.ЗагрузитьРасширенияИзменяющиеСтруктуруДанных;Константа;Завантажити розширення що змінюють структуру даних;Константа_ЗагрузитьРасширенияИзменяющиеСтруктуруДанных.md
Константа.ЗагрузитьСообщениеОбменаДанными;Константа;Завантажити повідомлення обміну даними;Константа_ЗагрузитьСообщениеОбменаДанными.md
Константа.ЗапретитьФормированиеОтветногоТитулаБезДокументовУчета;Константа;Заборонити формування титулу у відповідь без документів обліку;Константа_ЗапретитьФормированиеОтветногоТитулаБезДокументовУчета.md
Константа.ЗапрещатьЗагрузкуФайловПоРасширению;Константа;Забороняти завантаження файлів по розширенню;Константа_ЗапрещатьЗагрузкуФайловПоРасширению.md
Константа.ЗарегистрированыИзмененияДанных;Константа;Зареєстровані зміни даних;Константа_ЗарегистрированыИзмененияДанных.md
Константа.ЗачитыватьАвансыДолгиАвтоматически;Константа;Зараховувати аванси автоматично;Константа_ЗачитыватьАвансыДолгиАвтоматически.md
Константа.ИдентификаторИнформационнойБазы;Константа;Ідентифікатор інформаційної бази;Константа_ИдентификаторИнформационнойБазы.md
Константа.ИдентификацияПриложенияGoogle;Константа;Ідентифікація клієнта Google;Константа_ИдентификацияПриложенияGoogle.md
Константа.ИзвлекатьТекстыФайловНаСервере;Константа;Витягати тексти файлів на сервері;Константа_ИзвлекатьТекстыФайловНаСервере.md
Константа.ИмяПользователяУчетнойСистемы;Константа;Ім`я користувача облікової системи;Константа_ИмяПользователяУчетнойСистемы.md
Константа.ИнформацияОПроцедуреЗагрузки;Константа;Інформація про процедуру завантаження;Константа_ИнформацияОПроцедуреЗагрузки.md
Константа.ИспользованиеКаталогаДополнительныхОтчетовИОбработокВМоделиСервиса;Константа;Використання каталогу додаткових звітів і обробок в моделі сервісу;Константа_ИспользованиеКаталогаДополнительныхОтчетовИОбработокВМоделиСервиса.md
Константа.ИспользованиеКаталогаРасширенийВМоделиСервиса;Константа;Використання каталогу розширень в моделі сервісу;Константа_ИспользованиеКаталогаРасширенийВМоделиСервиса.md
Константа.ИспользоватьАвтоматическоеВыставлениеСчетовДляОплатыСервиса;Константа;Використовувати автоматичне виставлення рахунків для оплати сервісу;Константа_ИспользоватьАвтоматическоеВыставлениеСчетовДляОплатыСервиса.md
Константа.ИспользоватьАвтономнуюРаботуВМоделиСервиса;Константа;Використовувати автономну роботу в моделі сервісу;Константа_ИспользоватьАвтономнуюРаботуВМоделиСервиса.md
Константа.ИспользоватьАктыВыполненныхРабот;Константа;Використовувати акти виконаних робіт;Константа_ИспользоватьАктыВыполненныхРабот.md
Константа.ИспользоватьАнализБизнеса;Константа;Використовувати аналіз бізнесу;Константа_ИспользоватьАнализБизнеса.md
Константа.ИспользоватьАналогиНоменклатуры;Константа;Використовувати аналоги номенклатури;Константа_ИспользоватьАналогиНоменклатуры.md
Константа.ИспользоватьБанкИКассу;Константа;Використовувати банк та касу;Константа_ИспользоватьБанкИКассу.md
Константа.ИспользоватьБанковскиеСчета;Константа;Використовувати банківські рахунки;Константа_ИспользоватьБанковскиеСчета.md
Константа.ИспользоватьБиллинг;Константа;Використовувати білінг;Константа_ИспользоватьБиллинг.md
Константа.ИспользоватьВерсионированиеОбъектов;Константа;Використовувати версіонування об`єктів;Константа_ИспользоватьВерсионированиеОбъектов.md
Константа.ИспользоватьВидеоматериалы;Константа;Використовувати відеоматеріали;Константа_ИспользоватьВидеоматериалы.md
Константа.ИспользоватьВидыЗаказНарядов;Константа;Використовувати види замовлень-нарядів;Константа_ИспользоватьВидыЗаказНарядов.md
Константа.ИспользоватьВидыЗаказовПокупателей;Константа;Використовувати види замовлень покупців;Константа_ИспользоватьВидыЗаказовПокупателей.md
Константа.ИспользоватьВидыЦен;Константа;Використовувати види цін;Константа_ИспользоватьВидыЦен.md
Константа.ИспользоватьВнешнихПользователей;Константа;Використовувати зовнішніх користувачів;Константа_ИспользоватьВнешнихПользователей.md
Константа.ИспользоватьВозвратИзЭксплуатации;Константа;Використовувати повернення з експлуатації;Константа_ИспользоватьВозвратИзЭксплуатации.md
Константа.ИспользоватьВыгрузкуВСводноеПриложение;Константа;Використовувати вивантаження в зведений додаток;Константа_ИспользоватьВыгрузкуВСводноеПриложение.md
Константа.ИспользоватьГруппыВнешнихПользователей;Константа;Використовувати групи зовнішніх користувачів;Константа_ИспользоватьГруппыВнешнихПользователей.md
Константа.ИспользоватьГруппыДоступаКонтрагентов;Константа;Використовувати групи доступу контрагентів;Константа_ИспользоватьГруппыДоступаКонтрагентов.md
Константа.ИспользоватьГруппыДоступаЛидов;Константа;Використовувати групи доступу лідів;Константа_ИспользоватьГруппыДоступаЛидов.md
Константа.ИспользоватьГруппыМагазины;Константа;Використовувати групи магазини;Константа_ИспользоватьГруппыМагазины.md
Константа.ИспользоватьГруппыПользователей;Константа;Використовувати групи користувачів;Константа_ИспользоватьГруппыПользователей.md
Константа.ИспользоватьДатыЗапретаЗагрузки;Константа;Використовувати дати заборони завантаження;Константа_ИспользоватьДатыЗапретаЗагрузки.md
Константа.ИспользоватьДатыЗапретаИзменения;Константа;Використовувати дати заборони зміни;Константа_ИспользоватьДатыЗапретаИзменения.md
Константа.ИспользоватьДифференциальноеРезервноеКопирование;Константа;Використовувати диференціальне резервне копіювання;Константа_ИспользоватьДифференциальноеРезервноеКопирование.md
Константа.ИспользоватьДоговорыКонтрагентов;Константа;Використовувати договори контрагентів;Константа_ИспользоватьДоговорыКонтрагентов.md
Константа.ИспользоватьДокументПеремещение;Константа;Використовувати документ переміщення;Константа_ИспользоватьДокументПеремещение.md
Константа.ИспользоватьДополнительныеОтчетыИОбработки;Константа;Використовувати додаткові звіти й обробки;Константа_ИспользоватьДополнительныеОтчетыИОбработки.md
Константа.ИспользоватьДополнительныеРеквизитыИСведения;Константа;Використовувати додаткові реквізити й відомості;Константа_ИспользоватьДополнительныеРеквизитыИСведения.md
Константа.ИспользоватьДополнительныйЯзык1;Константа;Використовувати додаткову мову1;Константа_ИспользоватьДополнительныйЯзык1.md
Константа.ИспользоватьДополнительныйЯзык2;Константа;Використовувати додаткову мову2;Константа_ИспользоватьДополнительныйЯзык2.md
Константа.ИспользоватьЗагрузкуЭлектроннойПочты;Константа;Використовувати завантаження електронної пошти;Константа_ИспользоватьЗагрузкуЭлектроннойПочты.md
Константа.ИспользоватьЗаданияНаРаботу;Константа;Використовувати завдання на роботу;Константа_ИспользоватьЗаданияНаРаботу.md
Константа.ИспользоватьЗадачиСотрудников;Константа;Використовувати завдання співробітників;Константа_ИспользоватьЗадачиСотрудников.md
Константа.ИспользоватьЗаменуТоваров;Константа;Використовувати заміну товарів;Константа_ИспользоватьЗаменуТоваров.md
Константа.ИспользоватьЗапретПродаж;Константа;Використовувати заборону продажів;Константа_ИспользоватьЗапретПродаж.md
Константа.ИспользоватьИнтеграциюСИнтернетМагазином;Константа;Використовувати обмін інтернет магазинами;Константа_ИспользоватьИнтеграциюСИнтернетМагазином.md
Константа.ИспользоватьИнтеграциюССистемойВзаимодействия;Константа;Використовувати інтеграцію із системою взаємодії;Константа_ИспользоватьИнтеграциюССистемойВзаимодействия.md
Константа.ИспользоватьИсточникиПривлечения;Константа;Використовувати джерела залучення;Константа_ИспользоватьИсточникиПривлечения.md
Константа.ИспользоватьКалендариСотрудников;Константа;Використовувати календарі працівників;Константа_ИспользоватьКалендариСотрудников.md
Константа.ИспользоватьКонтрольТарификации;Константа;Використовувати контроль тарифікації;Константа_ИспользоватьКонтрольТарификации.md
Константа.ИспользоватьКорректировкиПоступлений;Константа;Використовувати коригування надходженнь;Константа_ИспользоватьКорректировкиПоступлений.md
Константа.ИспользоватьКорректировкиРеализаций;Константа;Використовувати коригування реалізацій;Константа_ИспользоватьКорректировкиРеализаций.md
Константа.ИспользоватьМаршрутныеЛисты;Константа;Використовувати маршрутні листи;Константа_ИспользоватьМаршрутныеЛисты.md
Константа.ИспользоватьМассовыеРассылкиИнтеграция;Константа;Використовувати масові розсилки інтеграція;Константа_ИспользоватьМассовыеРассылкиИнтеграция.md
Константа.ИспользоватьМобильнуюТелефонию;Константа;(не використовується) Використовувати мобільну телефонію;Константа_ИспользоватьМобильнуюТелефонию.md
Константа.ИспользоватьНаложенныеПлатежиСервисДоставки;Константа;Використовувати післяплату;Константа_ИспользоватьНаложенныеПлатежиСервисДоставки.md
Константа.ИспользоватьНапоминанияПользователя;Константа;Використовувати нагадування;Константа_ИспользоватьНапоминанияПользователя.md
Константа.ИспользоватьНесколькоВариантовКП;Константа;Використовувати декілька варіантів КП;Константа_ИспользоватьНесколькоВариантовКП.md
Константа.ИспользоватьНесколькоОрганизаций;Константа;Використовувати декілька організацій;Константа_ИспользоватьНесколькоОрганизаций.md
Константа.ИспользоватьНесколькоПроизводственныхКалендарей;Константа;Використовувати декілька виробничих календарів;Константа_ИспользоватьНесколькоПроизводственныхКалендарей.md
Константа.ИспользоватьНеуникальныеШтрихКоды;Константа;Використовувати неунікальні штрихкоди;Константа_ИспользоватьНеуникальныеШтрихКоды.md
Константа.ИспользоватьНовоеРМК;Константа;Використовувати нове РМК;Константа_ИспользоватьНовоеРМК.md
Константа.ИспользоватьОбменСGoogleCalendar;Константа;Використовувати обмін із google calendar;Константа_ИспользоватьОбменСGoogleCalendar.md
Константа.ИспользоватьОбменСПодключаемымОборудованиемOffline;Константа;Використовувати обмін з торговим обладнанням offline;Константа_ИспользоватьОбменСПодключаемымОборудованиемOffline.md
Константа.ИспользоватьОбщиеНастройкиВходаПользователейСервиса;Константа;Використовувати загальні налаштування входу користувачів сервісу;Константа_ИспользоватьОбщиеНастройкиВходаПользователейСервиса.md
Константа.ИспользоватьОптимизированнуюЗаписьСозданияАвтономногоРабочегоМеста;Константа;Використовувати оптимізований запис створення автономного робочого місця;Константа_ИспользоватьОптимизированнуюЗаписьСозданияАвтономногоРабочегоМеста.md
Константа.ИспользоватьОтправкуSMSВШаблонахСообщений;Константа;Використовувати відправку SMS в шаблонах повідомлень;Константа_ИспользоватьОтправкуSMSВШаблонахСообщений.md
Константа.ИспользоватьПередачуВЭксплуатацию;Константа;Використовувати передачу в експлуатацію;Константа_ИспользоватьПередачуВЭксплуатацию.md
Константа.ИспользоватьПодсистемуCRM;Константа;Використовувати підсистему CRM;Константа_ИспользоватьПодсистемуCRM.md
Константа.ИспользоватьПодсистемуДеньги;Константа;Використовувати підсистему Кошти;Константа_ИспользоватьПодсистемуДеньги.md
Константа.ИспользоватьПодсистемуЗакупки;Константа;Використовувати підсистему Закупівлі;Константа_ИспользоватьПодсистемуЗакупки.md
Константа.ИспользоватьПодсистемуКомпания;Константа;Використовувати підсистему Компанія;Константа_ИспользоватьПодсистемуКомпания.md
Константа.ИспользоватьПодсистемуНастройки;Константа;Використовувати підсистему Налаштування;Константа_ИспользоватьПодсистемуНастройки.md
Константа.ИспользоватьПодсистемуПродажи;Константа;Використовувати підсистему Продажі;Константа_ИспользоватьПодсистемуПродажи.md
Константа.ИспользоватьПодсистемуСклад;Константа;Використовувати підсистему Склад;Константа_ИспользоватьПодсистемуСклад.md
Константа.ИспользоватьПолнотекстовыйПоиск;Константа;Використовувати повнотекстовий пошук;Константа_ИспользоватьПолнотекстовыйПоиск.md
Константа.ИспользоватьПрисоединенныеФайлы;Константа;Використовувати приєднані файли;Константа_ИспользоватьПрисоединенныеФайлы.md
Константа.ИспользоватьПрофилиБезопасностиДляДОО;Константа;Використовувати профілі безпеки для додаткових звітів і обробок;Константа_ИспользоватьПрофилиБезопасностиДляДОО.md
Константа.ИспользоватьПрофилиБезопасностиДляРасширений;Константа;Використовувати профілі безпеки для розширень;Константа_ИспользоватьПрофилиБезопасностиДляРасширений.md
Константа.ИспользоватьРазделениеПоОбластямДанных;Константа;Використовувати розподіл по областях даних;Константа_ИспользоватьРазделениеПоОбластямДанных.md
Константа.ИспользоватьРаспределениеЗатрат;Константа;Використовувати розподіл витрат;Константа_ИспользоватьРаспределениеЗатрат.md
Константа.ИспользоватьРассрочкуПлатежаВЧекахККМ;Константа;Використовувати розстрочку платежу у чеках ККМ;Константа_ИспользоватьРассрочкуПлатежаВЧекахККМ.md
Константа.ИспользоватьРасчетФинансовогоРезультата;Константа;Використовувати розрахунок фінансового результату;Константа_ИспользоватьРасчетФинансовогоРезультата.md
Константа.ИспользоватьРемонты;Константа;Використовувати ремонти;Константа_ИспользоватьРемонты.md
Константа.ИспользоватьРучноеРаспределениеМатериаловПоУмолчанию;Константа;Використовувати ручний розподіл матеріалів за замовчуванням;Константа_ИспользоватьРучноеРаспределениеМатериаловПоУмолчанию.md
Константа.ИспользоватьСегментыНоменклатуры;Константа;Використовувати сегменти номенклатури;Константа_ИспользоватьСегментыНоменклатуры.md
Константа.ИспользоватьСервисЛояльности;Константа;Використовувати сервіс лояльності;Константа_ИспользоватьСервисЛояльности.md
Константа.ИспользоватьСервисПереводаТекста;Константа;Використовувати сервіс перекладу тексту;Константа_ИспользоватьСервисПереводаТекста.md
Константа.ИспользоватьСерииНоменклатуры;Константа;Використовувати серії номенклатури;Константа_ИспользоватьСерииНоменклатуры.md
Константа.ИспользоватьСинхронизациюДанных;Константа;Використовувати синхронізацію даних;Константа_ИспользоватьСинхронизациюДанных.md
Константа.ИспользоватьСинхронизациюДанныхВЛокальномРежиме;Константа;Використовувати синхронізацію даних в локальному режимі;Константа_ИспользоватьСинхронизациюДанныхВЛокальномРежиме.md
Константа.ИспользоватьСинхронизациюДанныхВМоделиСервиса;Константа;Використовувати синхронізацію даних в моделі сервісу;Константа_ИспользоватьСинхронизациюДанныхВМоделиСервиса.md
Константа.ИспользоватьСинхронизациюДанныхВМоделиСервисаСЛокальнойПрограммой;Константа;Використовувати синхронізацію даних в моделі сервісу з локальною програмою;Константа_ИспользоватьСинхронизациюДанныхВМоделиСервисаСЛокальнойПрограммой.md
Константа.ИспользоватьСинхронизациюДанныхВМоделиСервисаСПриложениемВИнтернете;Константа;Використовувати синхронізацію даних в моделі сервісу з додатком в Інтернет;Константа_ИспользоватьСинхронизациюДанныхВМоделиСервисаСПриложениемВИнтернете.md
Константа.ИспользоватьСкрытиеПерсональныхДанныхСубъектов;Константа;Використовувати приховування персональних даних суб`єктів;Константа_ИспользоватьСкрытиеПерсональныхДанныхСубъектов.md
Константа.ИспользоватьСобытия;Константа;Використовувати події;Константа_ИспользоватьСобытия.md
Константа.ИспользоватьСписаниеНаРасходы;Константа;Використовувати списання на витрати;Константа_ИспользоватьСписаниеНаРасходы.md
Константа.ИспользоватьТолькоНовыйРМК;Константа;Використовувати лише нове РМК;Константа_ИспользоватьТолькоНовыйРМК.md
Константа.ИспользоватьУдалениеПомеченныхОбъектов;Константа;Використовувати вилучення помічених об`єктів;Константа_ИспользоватьУдалениеПомеченныхОбъектов.md
Константа.ИспользоватьУправлениеЗапасами;Константа;Використовувати управління запасами;Константа_ИспользоватьУправлениеЗапасами.md
Константа.ИспользоватьУчетОригиналовПервичныхДокументов;Константа;Використовувати облік оригіналів первинних документів;Константа_ИспользоватьУчетОригиналовПервичныхДокументов.md
Константа.ИспользоватьФинансовыеОперации;Константа;Використовувати фінансові операції;Константа_ИспользоватьФинансовыеОперации.md
Константа.ИспользоватьФормуВиджетаНаНачальнойСтранице;Константа;Використовувати форму віджету на початковій сторінці;Константа_ИспользоватьФормуВиджетаНаНачальнойСтранице.md
Константа.ИспользоватьФормуИнформационногоЦентра;Константа;Використовувати форму інформаційного центру;Константа_ИспользоватьФормуИнформационногоЦентра.md
Константа.ИспользоватьЧатботов;Константа;Використовувати чатботів;Константа_ИспользоватьЧатботов.md
Константа.ИспользоватьЧатВОбсуждениях;Константа;Використовувати чат в історії об`єктів;Константа_ИспользоватьЧатВОбсуждениях.md
Константа.ИспользоватьШаблоныПечатиОфисныхДокументов;Константа;Використовувати шаблони КП та договорів;Константа_ИспользоватьШаблоныПечатиОфисныхДокументов.md
Константа.ИспользоватьШаблоныСообщений;Константа;Використовувати шаблони повідомлень;Константа_ИспользоватьШаблоныСообщений.md
Константа.ИспользоватьШифрование;Константа;Використовувати шифрування;Константа_ИспользоватьШифрование.md
Константа.ИспользоватьШтрихкодированиеПечатныхФормОбъектов;Константа;Використовувати штрихкодування друкованих форм об`єктів;Константа_ИспользоватьШтрихкодированиеПечатныхФормОбъектов.md
Константа.ИспользоватьЭлектроннуюПодписьВМоделиСервиса;Константа;Використовувати електронний підпис в моделі сервісу;Константа_ИспользоватьЭлектроннуюПодписьВМоделиСервиса.md
Константа.ИспользоватьЭлектроннуюПочтуВШаблонахСообщений;Константа;Використовувати електронну пошту в шаблонах повідомлень;Константа_ИспользоватьЭлектроннуюПочтуВШаблонахСообщений.md
Константа.ИспользоватьЭлектронныеПодписи;Константа;Використовувати електронні підписи;Константа_ИспользоватьЭлектронныеПодписи.md
Константа.ИспользуетсяМиграцияПриложений;Константа;Використовується міграція додатків;Константа_ИспользуетсяМиграцияПриложений.md
Константа.ИспользуютсяПрофилиБезопасности;Константа;Використовуються профілі безпеки;Константа_ИспользуютсяПрофилиБезопасности.md
Константа.КаталогВременныхФайловДляLinux;Константа;Каталог тимчасових файлів для linux;Константа_КаталогВременныхФайловДляLinux.md
Константа.КаталогВременныхФайловДляWindows;Константа;Каталог тимчасових файлів для windows;Константа_КаталогВременныхФайловДляWindows.md
Константа.КаталогОбменаФайламиВМоделиСервиса;Константа;Каталог обміну файлами в моделі сервісу;Константа_КаталогОбменаФайламиВМоделиСервиса.md
