Имя объекта;Тип объекта;Синоним;Файл
Константа.АвтоматическиНастраиватьРазрешенияВПрофиляхБезопасности;Константа;Автоматично налаштовувати дозволи в профілях безпеки;Константа_АвтоматическиНастраиватьРазрешенияВПрофиляхБезопасности.md
Константа.АвтоматическиПланироватьОперацийЗаказомНаПроизводство;Константа;Автоматично планувати операцій замовленням на виробництво;Константа_АвтоматическиПланироватьОперацийЗаказомНаПроизводство.md
Константа.АдресаСерверовМетокВремени;Константа;Адреси серверів міток часу;Константа_АдресаСерверовМетокВремени.md
Константа.АдресДляВосстановленияПароляУчетнойЗаписи;Константа;Адреса для відновлення пароля обліковому запису;Константа_АдресДляВосстановленияПароляУчетнойЗаписи.md
Константа.АдресКриптосервиса;Константа;Адреса криптосервісу;Константа_АдресКриптосервиса.md
Константа.АдресПрограммногоИнтерфейсаСлужбыПоддержки;Константа;Адреса програмного інтерфейсу служби підтримки;Константа_АдресПрограммногоИнтерфейсаСлужбыПоддержки.md
Константа.АдресПубликацииИнформационнойБазыВИнтернете;Константа;Адреса публікації інформаційної бази в інтернеті;Константа_АдресПубликацииИнформационнойБазыВИнтернете.md
Константа.АдресПубликацииИнформационнойБазыВЛокальнойСети;Константа;Адреса публікації інформаційної бази в локальній мережі;Константа_АдресПубликацииИнформационнойБазыВЛокальнойСети.md
Константа.АдресСервиса1СФреш;Константа;Адреса сервісу Фреш;Константа_АдресСервиса1СФреш.md
Константа.АдресСервисаНовостей;Константа;Адреса сервісу новин;Константа_АдресСервисаНовостей.md
Константа.АдресСервисаПодключенияЭлектроннойПодписиВМоделиСервиса;Константа;Адреса сервісу підключення електронного підпису в моделі сервісу;Константа_АдресСервисаПодключенияЭлектроннойПодписиВМоделиСервиса.md
Константа.АдресСервисаЦентраИдей;Константа;Адреса сервісу центру ідей;Константа_АдресСервисаЦентраИдей.md
Константа.АдресУправленияКонференцией;Константа;Адреса управління конференцією;Константа_АдресУправленияКонференцией.md
Константа.АдресЦКК;Константа;Адреса ЦКЯ;Константа_АдресЦКК.md
Константа.АккредитованныеУдостоверяющиеЦентры;Константа;Акредитовані засвідчуючі центри;Константа_АккредитованныеУдостоверяющиеЦентры.md
Константа.АрхивироватьЧекиККМПриЗакрытииКассовойСмены;Константа;Архівувати чеки ККМ при закритті касової зміни;Константа_АрхивироватьЧекиККМПриЗакрытииКассовойСмены.md
Константа.БиллингВестиУчетРасходовПоДоговорамОбслуживания;Константа;Вести облік витрат в розрізі договорів обслуговування;Константа_БиллингВестиУчетРасходовПоДоговорамОбслуживания.md
Константа.БиллингГоловноеНаправлениеДеятельности;Константа;Головний напрямок діяльності;Константа_БиллингГоловноеНаправлениеДеятельности.md
